Muestra,ct1,ct2,ct,# de copias
Desaf Tq 1,20.64770699,20.37177849,20.50974274,4.986501293
Desaf Tq 2,23.18681526,22.93064308,23.05872917,4.294781772
Desaf Tq 3,25.27807236,25.29568863,25.28688049,3.69012741
Desaf Tq 4,21.72311401,21.29761314,21.51036358,4.714962394
Desaf Tq 5,20.88529015,20.70781708,20.79655361,4.908669305
Desaf R 1,23.17347717,22.81966019,22.99656868,4.31165029
Desaf R 2,25.33992386,25.30741692,25.32367039,3.680143721
Desaf R 3,28.65149689,28.6712513,28.66137409,2.774389663
Desaf R 4,25.94511604,25.67726135,25.8111887,3.547845672
Desaf R 5,28.14808083,28.42438126,28.28623104,2.876192391
CR88 D Tq 1,36.51737213,35.19926453,35.85831833,0.821351878
CR88 D Tq 2,27.13333511,26.58980179,26.86156845,3.262803677
CR88 D Tq 3,26.55805206,26.74965477,26.65385342,3.319171393
CR88 D Tq 4,24.84986496,24.94347382,24.89666939,3.796019162
CR88 D Tq 5,32.90910339,32.50948334,32.70929337,1.675904107
CR88 D R 1,25.74644279,26.91732979,26.33188629,3.406543747
CR88 D R 2,28.07370758,28.00376129,28.03873444,2.943355648
CR88 D R 3,38.44711685,36.43066406,37.43889046,0.392431355
CR88 D R 4,31.2438488,29.95605278,30.59995079,2.248317289
CR88 D R 5,30.03426743,29.59218216,29.81322479,2.461811454
A13 D Tq 1,36.40258789,36.36529922,36.38394356,0.678712739
A13 D Tq 2,36.1884346,36.68232346,36.43537903,0.664754673
A13 D Tq 3,36.5715332,35.69192886,36.13173103,0.747155758
A13 D Tq 4,25.84259415,25.79285049,25.81772232,3.54607264
A13 D Tq 5,33.61175919,34.42155838,34.01665878,1.321123804
A13 D R 1,35.69944,36.91997528,36.30970764,0.698858171
A13 D R 2,Undetermined,Undetermined,#DIV/0!,#DIV/0!
A13 D R 3,Undetermined,Undetermined,#DIV/0!,#DIV/0!
A13 D R 4,Undetermined,32.29223633,32.29223633,1.789081051
A13 D R 5,Undetermined,Undetermined,#DIV/0!,#DIV/0!
A13 Tq1,33.27019119,35.51209259,34.39114189,1.219500165
c-,37.12425232,Undetermined,37.12425232,0.477814839
A13D R2,34.74142456,29.95475006,32.34808731,1.773924746
A13D R3,34.77403259,33.10484314,33.93943787,1.342079276
A13D R5,Undetermined,35.4298439,35.4298439,0.937627163
A13D R6,34.43600845,32.25437546,33.34519196,1.503340039
A13D R7,Undetermined,36.22331238,36.22331238,0.72230329
A13 Tq2,36.35039902,34.20658493,35.27849197,0.9786996
A13 Tq3,35.95652771,35.78743744,35.87198257,0.817643806
A13 Tq4,34.46931076,33.72887039,34.09909058,1.298754253
A13 Tq5,30.73095131,32.95513916,31.84304523,1.910978227
A13 R 1,34.78666687,34.40302277,34.59484482,1.164221216
A13 R 2,35.89953613,35.69557953,35.79755783,0.83784048
A13 R 3,Undetermined,35.97743607,35.97743607,0.789026848
A13 R 4,Undetermined,34.86642456,34.86642456,1.090522507
A13 R 5,Undetermined,34.5791893,34.5791893,1.168469661
CR88 Tq 1,36.3814888,34.74065781,35.5610733,0.902015386
CR88 Tq 2,34.93054962,33.3265419,34.12854576,1.290760987
CR88 Tq 3,31.72637558,33.87474442,32.80056,1.651137043
CR88 Tq 4,32.44906616,33.9647789,33.20692253,1.540862271
CR88 Tq 5,35.63491058,36.17348862,35.9041996,0.808901058
CR88 R 1,34.7219696,35.78686905,35.25441933,0.985232204
CR88 R 2,Undetermined,Undetermined,#DIV/0!,#DIV/0!
CR88 R 3,36.14212799,Undetermined,36.14212799,0.744334331
CR88 R 4,34.43553162,Undetermined,34.43553162,1.207454107
CR88D Tq1,32.34028625,31.95718765,32.14873695,1.828022536
C- Tq 1,31.83337593,32.83699799,32.33518696,1.77742552
C- Tq 2,32.47513962,36.20977402,34.34245682,1.232711854
C- Tq 3,33.88942337,Undetermined,33.88942337,1.355651731
C- Tq 4,36.31901169,35.98251343,36.15076256,0.741991165
C- R 1,Undetermined,38.27923203,38.27923203,0.16438751
C- R 2,36.45767593,34.55196381,35.50481987,0.917280904
C- R 3,Undetermined,37.0447464,37.0447464,0.499390394
C- R 4,34.48788071,35.72209549,35.1049881,1.02578342
c-1,Undetermined,,#DIV/0!,#DIV/0!
c-2,Undetermined,,#DIV/0!,#DIV/0!
c-3,Undetermined,,#DIV/0!,#DIV/0!
